"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1348","2023-09-16","Nick Allen",61,"---",".72","1B"
"1349","2023-09-16","Cal Raleigh",122,"1--","1.16","BB"
"1350","2023-09-16","Nolan Jones",96,"12-","2.08","BB"
"1351","2023-09-16","Willson Contreras",126,"---",".64","Out"
"1352","2023-09-16","Brandon Marsh",91,"---",".05","1B"
"1353","2023-09-17","Christian Bethancourt",100,"---",".87","Out"
"1355","2023-09-17","Zack Short",-50,"1--",".51","Out"
"1356","2023-09-17","Royce Lewis",143,"1--","1.15","Out"
"1359","2023-09-17","Matt Olson",120,"-2-","1.27","BB"
"1361","2023-09-17","Lars Nootbaar",124,"---",".27","SO"
"1362","2023-09-18","Alex Bregman",134,"---",".87","2B"
"1363","2023-09-18","José Altuve",161,"1--","1.00","SO"
"1364","2023-09-17","Bo Bichette",128,"---",".59","Out"
"1367","2023-09-18","Keibert Ruiz",94,"-2-","1.20","Out"
"1368","2023-09-18","Corey Seager",117,"---","1.76","Out"
"1370","2023-09-19","Nick Castellanos",96,"---",".13","Out"
"1371","2023-09-19","Jason Heyward",56,"---","1.18","Out"
"1372","2023-09-19","Kyle Schwarber",131,"---",".08","Out"
"1373","2023-09-19","Brendan Rodgers",97,"---","1.34","Out"
"1374","2023-09-19","Mike Ford",77,"-2-",".95","Out"
"1375","2023-09-19","Jon Berti",88,"---",".68","SO"
"1376","2023-09-19","Giancarlo Stanton",112,"1--",".16","SO"
"1377","2023-09-20","Adley Rutschman",131,"12-","2.02","SO"
"1378","2023-09-20","Luke Maile",82,"---",".99","BB"
"1379","2023-09-19","Adam Duvall",86,"---","1.48","Out"
"1380","2023-09-19","CJ Abrams",75,"---",".72","SO"
"1381","2023-09-20","George Springer",132,"---",".71","Out"
"1383","2023-09-20","William Contreras",136,"---",".87","Out"
"1386","2023-09-20","Lane Thomas",102,"1--",".00","BB"
"1387","2023-09-20","Manuel Margot",104,"---",".21","1B"
"1389","2023-09-22","Miles Mastrobuoni",26,"---",".01","SO"
"1390","2023-09-22","Carlos Santana",100,"-2-",".00","Out"
"1391","2023-09-22","Joc Pederson",146,"-2-",".99","SO"
"1392","2023-09-22","Will Smith",124,"123","3.99","1B"
"1393","2023-09-22","Christian Yelich",109,"-2-",".12","2B"
"1394","2023-09-22","Mike Yastrzemski",97,"-2-","1.47","Out"
"1396","2023-09-22","J.D. Davis",116,"---",".36","Out"
"1397","2023-09-22","Max Kepler",92,"123","1.30","SO"
"1398","2023-09-22","Manny Machado",157,"---",".59","1B"
"1399","2023-09-22","Bo Bichette",128,"---",".35","Out"
"1400","2023-09-22","Jonah Heim",96,"-2-",".99","Out"
"1401","2023-09-23","Jake Fraley",121,"1--","3.55","2B"
"1403","2023-09-22","Lane Thomas",102,"---",".76","1B"
"1404","2023-09-23","Seiya Suzuki",113,"12-","1.90","Out"
"1405","2023-09-23","Willy Adames",110,"1--",".79","Out"
